Make,Color,Odometer(Miles),Doors,Price
Toyota,White,,4.0,"$6,664.00"
Toyota,Blue,53424.0,3.0,"$7,246.00"
Honda,White,64101.0,4.0,"$7,333.00"
Toyota,White,28307.0,4.0,
Honda,White,54810.0,4.0,"$7,647.00"
Honda,White,51791.0,4.0,"$5,218.00"
Toyota,Blue,66560.0,3.0,"$6,813.00"
BMW,Black,8874.0,5.0,"$22,513.00"
Toyota,Blue,55657.0,3.0,"$5,755.00"
BMW,Black,7322.0,4.0,"$6,601.00"
Toyota,White,59232.0,4.0,"$3,815.00"
,Blue,70098.0,3.0,"$6,963.00"
Toyota,Green,52551.0,4.0,"$6,110.00"
Honda,Red,93670.0,,"$3,820.00"
Toyota,Blue,,3.0,"$7,327.00"
Toyota,Blue,53006.0,3.0,"$5,759.00"
Toyota,Blue,61803.0,3.0,"$8,524.00"
Nissan,White,216076.0,4.0,"$4,153.00"
Honda,,92719.0,4.0,"$5,184.00"
Toyota,White,58706.0,,"$6,932.00"
Toyota,White,24162.0,4.0,"$9,538.00"
Toyota,Red,92006.0,4.0,"$5,866.00"
Toyota,,57109.0,3.0,"$4,809.00"
Toyota,Blue,56547.0,4.0,"$7,075.00"
Nissan,White,215493.0,4.0,"$3,986.00"
,Blue,60541.0,3.0,"$6,564.00"
Toyota,Green,67009.0,,"$4,918.00"
Toyota,White,54900.0,4.0,"$7,641.00"
Toyota,White,58432.0,4.0,"$7,514.00"
Toyota,White,50675.0,,"$9,298.00"
Toyota,White,155997.0,4.0,"$5,639.00"
BMW,Black,54771.0,5.0,"$21,913.00"
Toyota,White,48780.0,4.0,"$6,029.00"
Honda,Red,84991.0,4.0,"$7,998.00"
Toyota,White,35818.0,4.0,"$7,679.00"
Honda,White,62373.0,4.0,"$4,529.00"
Toyota,White,63278.0,4.0,"$7,149.00"
Toyota,White,,4.0,"$8,384.00"
BMW,Black,13103.0,5.0,"$21,551.00"
Honda,Blue,70038.0,4.0,"$6,771.00"
Honda,White,61785.0,4.0,"$7,160.00"
Toyota,White,57180.0,4.0,"$4,340.00"
Nissan,White,206073.0,4.0,"$4,058.00"
Toyota,,55016.0,4.0,"$7,236.00"
Nissan,White,209195.0,4.0,"$4,039.00"
Honda,White,55132.0,4.0,"$8,932.00"
Toyota,White,30594.0,4.0,"$5,976.00"
Honda,,60671.0,4.0,"$9,396.00"
Toyota,White,63273.0,4.0,"$7,043.00"
Honda,Red,93064.0,4.0,"$5,077.00"
Honda,Red,80653.0,4.0,"$5,573.00"
,White,210008.0,4.0,"$4,817.00"
Nissan,,205579.0,,"$4,290.00"
,Blue,58779.0,4.0,"$7,096.00"
Toyota,Blue,54064.0,4.0,"$6,405.00"
BMW,Black,7255.0,5.0,"$21,341.00"
Toyota,White,64243.0,4.0,"$7,554.00"
Toyota,White,33516.0,4.0,"$9,314.00"
Toyota,Blue,61792.0,3.0,"$6,374.00"
Nissan,White,215247.0,4.0,"$4,923.00"
Nissan,White,223307.0,4.0,"$2,435.00"
Nissan,White,214126.0,4.0,"$5,455.00"
Toyota,Blue,57098.0,3.0,"$7,753.00"
Toyota,White,55791.0,4.0,"$6,484.00"
Honda,Red,,4.0,"$5,992.00"
Nissan,White,216485.0,4.0,"$8,548.00"
BMW,Black,4738.0,,"$22,308.00"
Honda,Red,86602.0,4.0,"$3,973.00"
Nissan,White,59179.0,4.0,"$3,603.00"
Toyota,Blue,67066.0,3.0,"$8,651.00"
Honda,Blue,56802.0,4.0,"$5,809.00"
Toyota,Green,48742.0,4.0,"$2,771.00"
Honda,Blue,60499.0,4.0,"$5,770.00"
Toyota,White,,4.0,"$6,756.00"
BMW,Black,8043.0,,"$21,276.00"
Honda,White,61112.0,4.0,"$7,850.00"
Toyota,White,56940.0,3.0,"$7,990.00"
Toyota,White,56656.0,4.0,"$6,584.00"
Honda,White,62145.0,4.0,"$6,262.00"
Honda,Red,93219.0,4.0,"$5,769.00"
BMW,White,4130.0,4.0,"$21,326.00"
,Blue,63873.0,4.0,"$6,924.00"
Honda,Red,85682.0,4.0,"$5,886.00"
BMW,White,11724.0,5.0,"$21,816.00"
Honda,White,70585.0,4.0,
BMW,Black,11905.0,5.0,"$20,708.00"
Honda,,62056.0,,"$6,225.00"
Toyota,White,,4.0,"$2,717.00"
Toyota,Green,,4.0,"$4,403.00"
Nissan,White,211434.0,,"$2,510.00"
BMW,Black,4210.0,5.0,"$22,292.00"
Honda,Blue,58774.0,4.0,"$7,379.00"
Honda,Red,90633.0,4.0,"$4,424.00"
Honda,Blue,,4.0,"$6,898.00"
Nissan,White,210516.0,4.0,"$3,044.00"
Toyota,White,58219.0,4.0,"$7,572.00"
Toyota,White,55882.0,4.0,"$7,010.00"
Toyota,Blue,58777.0,3.0,"$6,441.00"
,Red,94292.0,4.0,"$5,342.00"
Toyota,White,20275.0,4.0,"$7,868.00"
Honda,Blue,59278.0,4.0,"$6,087.00"
Honda,White,64235.0,4.0,"$10,309.00"
Toyota,White,29627.0,4.0,"$8,736.00"
Toyota,White,32955.0,4.0,"$8,954.00"
Honda,Red,89063.0,4.0,"$4,020.00"
Honda,Blue,60857.0,4.0,"$7,206.00"
Toyota,White,62619.0,4.0,"$7,509.00"
Nissan,White,220722.0,4.0,"$4,788.00"
Toyota,Blue,64998.0,3.0,"$8,712.00"
Toyota,White,55716.0,4.0,"$6,435.00"
Toyota,White,54628.0,4.0,"$8,918.00"
Nissan,White,215433.0,4.0,"$3,429.00"
Toyota,Green,51185.0,4.0,"$5,217.00"
Honda,Red,91048.0,4.0,"$4,803.00"
BMW,,16570.0,5.0,"$23,126.00"
Toyota,White,63683.0,4.0,"$7,318.00"
BMW,Black,8785.0,5.0,"$21,421.00"
BMW,Black,8006.0,4.0,"$22,384.00"
Toyota,Blue,62390.0,3.0,"$9,019.00"
Toyota,Green,53811.0,,"$4,545.00"
Toyota,White,65537.0,4.0,"$7,704.00"
,Black,14032.0,5.0,"$22,661.00"
BMW,Black,8975.0,5.0,"$21,541.00"
Honda,Red,81392.0,4.0,"$5,115.00"
,White,44807.0,4.0,"$10,387.00"
Toyota,,63678.0,4.0,
Toyota,,87587.0,4.0,"$4,974.00"
Toyota,White,26794.0,4.0,"$8,555.00"
Toyota,Blue,72283.0,3.0,"$6,951.00"
Toyota,White,28227.0,4.0,"$6,713.00"
Toyota,White,33308.0,4.0,
Honda,White,61661.0,4.0,"$6,714.00"
Toyota,White,58646.0,4.0,"$6,067.00"
Toyota,White,62527.0,4.0,"$7,690.00"
Nissan,White,206304.0,4.0,"$2,765.00"
Toyota,Blue,68383.0,3.0,"$7,615.00"
Nissan,White,210952.0,4.0,"$3,735.00"
Honda,Blue,53305.0,,"$6,753.00"
Toyota,White,34490.0,4.0,"$10,771.00"
Toyota,White,31834.0,4.0,"$10,738.00"
Toyota,Blue,65061.0,3.0,"$7,039.00"
Toyota,White,50909.0,4.0,"$6,740.00"
Honda,Blue,54456.0,4.0,
Honda,Red,80909.0,4.0,"$4,011.00"
Honda,Blue,67874.0,4.0,"$7,025.00"
Toyota,White,,4.0,"$1,423.00"
Toyota,White,69352.0,4.0,"$5,973.00"
Toyota,White,57837.0,4.0,"$9,399.00"
Honda,White,59895.0,4.0,"$6,990.00"
Toyota,Green,53198.0,4.0,"$7,383.00"
Nissan,White,212968.0,4.0,"$3,376.00"
Toyota,White,57239.0,4.0,"$3,664.00"
Toyota,White,151023.0,4.0,"$4,357.00"
Honda,Blue,60199.0,4.0,"$7,297.00"
Toyota,Blue,58460.0,3.0,"$7,291.00"
Toyota,Blue,58676.0,3.0,"$5,635.00"
Toyota,White,155736.0,4.0,"$5,614.00"
Nissan,White,215032.0,4.0,"$3,474.00"
,White,211416.0,4.0,"$1,554.00"
Honda,White,60329.0,4.0,"$5,464.00"
Toyota,White,35411.0,4.0,"$10,764.00"
,Blue,,4.0,"$8,477.00"
Toyota,Blue,49755.0,4.0,"$7,300.00"
Toyota,White,31932.0,4.0,"$9,441.00"
Toyota,White,25121.0,4.0,
Toyota,White,21519.0,4.0,"$8,589.00"
Honda,White,55800.0,4.0,"$8,427.00"
Toyota,Blue,57439.0,3.0,"$7,035.00"
Toyota,Blue,58780.0,3.0,"$8,175.00"
Honda,Blue,62809.0,4.0,"$6,432.00"
Toyota,White,22422.0,4.0,"$9,442.00"
Toyota,White,61600.0,4.0,"$6,232.00"
Honda,Red,84399.0,4.0,"$5,151.00"
Toyota,White,152188.0,4.0,"$5,884.00"
Toyota,White,57566.0,4.0,"$6,757.00"
Toyota,White,147832.0,4.0,"$4,210.00"
Toyota,White,30480.0,4.0,"$9,930.00"
Nissan,White,,,"$4,055.00"
Nissan,White,208982.0,,"$3,664.00"
Nissan,White,56483.0,4.0,"$4,826.00"
Toyota,Green,60582.0,4.0,"$2,075.00"
Honda,Blue,56100.0,4.0,"$7,364.00"
Toyota,White,32462.0,4.0,"$9,187.00"
Toyota,Green,60110.0,4.0,"$5,395.00"
Toyota,White,53680.0,4.0,"$8,735.00"
Nissan,White,212833.0,4.0,"$6,129.00"
Toyota,White,68820.0,4.0,"$6,831.00"
Honda,Blue,57935.0,4.0,"$7,413.00"
Toyota,,148521.0,4.0,
Toyota,White,27812.0,4.0,"$8,551.00"
,White,55500.0,4.0,"$3,969.00"
Toyota,,54153.0,4.0,"$6,834.00"
BMW,Black,12471.0,,"$6,043.00"
Toyota,Blue,60677.0,3.0,"$7,212.00"
Honda,White,66367.0,4.0,"$6,222.00"
Toyota,Green,60091.0,4.0,"$5,014.00"
Toyota,White,33352.0,4.0,"$9,499.00"
,White,208910.0,4.0,"$3,897.00"
Honda,White,60031.0,4.0,"$7,702.00"
Toyota,Green,60677.0,4.0,"$3,696.00"
Nissan,White,56111.0,4.0,"$3,151.00"
Nissan,White,59307.0,4.0,"$4,509.00"
Toyota,White,,4.0,"$6,207.00"
Toyota,Blue,60167.0,,"$6,505.00"
Toyota,White,133702.0,4.0,"$5,068.00"
Honda,White,,4.0,"$7,772.00"
Honda,Red,85223.0,4.0,"$3,501.00"
Honda,White,83103.0,4.0,"$5,705.00"
BMW,Black,,5.0,"$23,274.00"
Honda,Blue,67770.0,4.0,"$8,309.00"
Toyota,White,58493.0,4.0,"$3,881.00"
Nissan,White,207367.0,4.0,"$3,194.00"
Honda,White,63546.0,4.0,"$7,191.00"
BMW,Black,13605.0,5.0,"$23,430.00"
Honda,Red,85615.0,4.0,"$3,100.00"
Toyota,White,62899.0,4.0,"$5,078.00"
Honda,White,54983.0,4.0,"$7,679.00"
Toyota,White,53241.0,4.0,"$7,649.00"
Toyota,White,,4.0,"$4,119.00"
Toyota,White,148992.0,4.0,"$2,563.00"
Toyota,White,59344.0,4.0,"$4,413.00"
Nissan,White,208443.0,4.0,"$2,776.00"
Toyota,White,67602.0,4.0,"$6,987.00"
Toyota,White,145705.0,,"$2,731.00"
Honda,Blue,53280.0,4.0,"$8,206.00"
Toyota,White,152053.0,4.0,"$7,155.00"
Honda,Red,71299.0,4.0,"$7,296.00"
Toyota,White,138307.0,4.0,"$3,504.00"
Toyota,White,62368.0,4.0,"$9,268.00"
Toyota,Green,65150.0,4.0,"$6,229.00"
Toyota,Blue,71314.0,3.0,"$6,267.00"
Honda,White,66059.0,4.0,"$6,878.00"
Honda,Red,79604.0,4.0,
Toyota,White,148569.0,4.0,"$3,167.00"
Honda,Blue,58966.0,4.0,"$5,854.00"
Honda,Red,82289.0,4.0,"$2,745.00"
Toyota,Green,68051.0,4.0,"$3,216.00"
Toyota,Green,60779.0,4.0,"$5,898.00"
,White,29059.0,4.0,"$6,749.00"
BMW,Black,9057.0,5.0,"$21,390.00"
Toyota,Blue,63837.0,3.0,"$7,059.00"
Toyota,Blue,60757.0,3.0,"$6,015.00"
Honda,Blue,63673.0,4.0,"$6,982.00"
,Red,88589.0,4.0,"$6,142.00"
,White,,4.0,"$6,130.00"
BMW,,13109.0,5.0,"$22,472.00"
Toyota,,57164.0,4.0,"$4,312.00"
Toyota,White,59840.0,3.0,"$8,284.00"
Toyota,White,51580.0,4.0,"$7,031.00"
Nissan,White,213979.0,4.0,"$2,453.00"
Toyota,White,23701.0,4.0,"$7,131.00"
Toyota,Blue,,4.0,"$7,865.00"
Nissan,,212817.0,4.0,$801.00
Honda,White,63293.0,4.0,"$7,587.00"
Honda,,60605.0,4.0,"$7,446.00"
Honda,Red,86824.0,4.0,"$4,775.00"
Toyota,Blue,59260.0,3.0,
Toyota,White,158396.0,4.0,"$3,777.00"
Honda,Blue,61901.0,4.0,"$8,109.00"
Toyota,White,58571.0,4.0,"$6,762.00"
Toyota,White,146497.0,4.0,"$4,842.00"
Toyota,Blue,53251.0,4.0,"$7,182.00"
BMW,Black,9241.0,5.0,"$21,613.00"
Toyota,White,30174.0,4.0,"$9,435.00"
Toyota,White,150127.0,4.0,"$3,464.00"
,White,65194.0,4.0,"$3,757.00"
Toyota,White,34486.0,,"$8,675.00"
Honda,Red,81129.0,4.0,"$4,198.00"
Toyota,White,148175.0,4.0,
Toyota,Blue,61761.0,,"$6,262.00"
Nissan,White,210445.0,4.0,"$5,971.00"
Toyota,Blue,61857.0,3.0,"$7,115.00"
Honda,White,60571.0,4.0,"$5,704.00"
Honda,Red,80465.0,4.0,"$6,351.00"
Honda,Red,87507.0,4.0,"$4,206.00"
Toyota,Blue,60245.0,3.0,"$6,388.00"
Toyota,White,,4.0,"$8,742.00"
Honda,Blue,62770.0,4.0,"$6,446.00"
Toyota,White,33785.0,4.0,"$6,788.00"
Toyota,White,147933.0,4.0,"$4,845.00"
Honda,Red,91694.0,4.0,"$5,314.00"
Honda,White,52300.0,4.0,"$7,215.00"
Toyota,White,61632.0,4.0,"$5,935.00"
Honda,Blue,72955.0,4.0,"$7,545.00"
Toyota,White,155121.0,4.0,"$4,039.00"
,White,145993.0,4.0,"$3,888.00"
Toyota,White,37350.0,4.0,"$11,305.00"
,White,145510.0,4.0,"$5,086.00"
,White,67016.0,4.0,"$6,263.00"
Toyota,Blue,58588.0,,"$6,694.00"
BMW,Black,2781.0,5.0,
Honda,Blue,59861.0,4.0,"$8,546.00"
Toyota,,57937.0,4.0,"$3,400.00"
Toyota,Blue,54349.0,3.0,"$5,998.00"
Honda,White,62693.0,4.0,"$8,594.00"
Toyota,White,53482.0,4.0,"$7,141.00"
Honda,White,62592.0,,"$6,919.00"
BMW,Black,12507.0,5.0,"$23,680.00"
Toyota,White,146784.0,4.0,"$4,027.00"
Toyota,,59195.0,4.0,"$6,442.00"
,Green,62937.0,4.0,"$5,423.00"
Toyota,Blue,66404.0,3.0,"$7,344.00"
Nissan,White,209887.0,4.0,"$5,970.00"
Honda,Blue,67562.0,,"$5,812.00"
Toyota,Green,61022.0,4.0,"$6,265.00"
Honda,Red,91795.0,4.0,"$4,304.00"
Toyota,White,152441.0,4.0,"$3,764.00"
Toyota,Blue,65297.0,3.0,"$5,367.00"
Honda,White,58957.0,4.0,"$7,501.00"
,Red,81943.0,4.0,"$4,469.00"
Nissan,White,218121.0,4.0,"$3,992.00"
Toyota,Green,70797.0,4.0,"$3,140.00"
Toyota,White,51625.0,4.0,"$11,598.00"
Honda,Red,88803.0,4.0,"$3,235.00"
Toyota,White,60958.0,,"$6,949.00"
Toyota,White,29754.0,4.0,"$8,337.00"
BMW,Black,9224.0,5.0,"$21,823.00"
Toyota,Blue,,3.0,"$7,373.00"
Honda,Red,92137.0,,"$5,340.00"
Toyota,Green,58090.0,4.0,"$4,039.00"
Toyota,White,32114.0,4.0,"$10,483.00"
BMW,Black,8182.0,,
Honda,Blue,54814.0,4.0,"$6,898.00"
Honda,White,62948.0,4.0,"$7,032.00"
,White,208952.0,4.0,"$5,617.00"
Toyota,White,27719.0,4.0,"$10,805.00"
Toyota,White,59306.0,4.0,"$2,646.00"
Toyota,Blue,62398.0,,"$6,926.00"
Toyota,White,150263.0,4.0,"$3,783.00"
Toyota,Green,56946.0,4.0,"$3,107.00"
,Green,66557.0,4.0,"$6,688.00"
Toyota,Green,64646.0,4.0,"$8,187.00"
Nissan,White,207421.0,4.0,"$2,514.00"
Honda,Red,90522.0,4.0,"$4,688.00"
BMW,Black,12313.0,5.0,"$18,858.00"
Toyota,White,147543.0,,"$3,730.00"
Toyota,,40863.0,4.0,"$11,815.00"
Toyota,Blue,64417.0,4.0,"$6,061.00"
Honda,White,66795.0,4.0,"$7,317.00"
Toyota,White,148625.0,4.0,"$4,735.00"
Nissan,White,218025.0,4.0,"$3,798.00"
Toyota,Black,7356.0,5.0,"$21,187.00"
Toyota,White,31964.0,4.0,
Toyota,Blue,60442.0,3.0,"$7,653.00"
Honda,Blue,64161.0,4.0,
Toyota,White,27379.0,4.0,"$9,226.00"
Toyota,White,24796.0,4.0,"$8,196.00"
Toyota,White,90789.0,4.0,
Toyota,White,64153.0,4.0,"$6,464.00"
Nissan,White,215567.0,4.0,"$1,991.00"
BMW,Black,9430.0,5.0,"$20,926.00"
Honda,White,55411.0,4.0,"$7,913.00"
Toyota,White,67271.0,4.0,"$8,042.00"
Toyota,White,145931.0,4.0,"$3,483.00"
Honda,Red,91458.0,4.0,"$5,066.00"
Honda,White,52765.0,4.0,"$6,874.00"
Toyota,White,30998.0,4.0,"$8,670.00"
Toyota,Green,66119.0,4.0,"$4,541.00"
BMW,Black,10445.0,5.0,"$23,287.00"
Toyota,White,32312.0,4.0,"$9,176.00"
,Blue,61134.0,4.0,"$5,770.00"
Toyota,White,211744.0,4.0,"$7,619.00"
Toyota,White,58396.0,4.0,"$6,613.00"
Toyota,White,34556.0,4.0,"$7,114.00"
Honda,White,54586.0,4.0,"$8,509.00"
Honda,Blue,63363.0,4.0,"$6,982.00"
Toyota,White,69272.0,4.0,"$8,305.00"
BMW,,17124.0,5.0,"$22,111.00"
Toyota,Blue,73957.0,4.0,"$8,066.00"
BMW,Black,8975.0,4.0,"$19,552.00"
Nissan,White,210556.0,4.0,"$2,343.00"
Honda,White,59097.0,4.0,"$6,866.00"
Honda,Blue,60770.0,4.0,"$5,806.00"
Honda,White,61337.0,4.0,"$8,925.00"
Honda,Blue,65433.0,4.0,"$7,555.00"
Nissan,White,211080.0,4.0,"$3,000.00"
Honda,White,75755.0,4.0,"$5,996.00"
Toyota,Blue,53386.0,3.0,"$4,732.00"
Toyota,White,150661.0,4.0,"$3,349.00"
Honda,Red,82612.0,4.0,"$6,590.00"
Nissan,White,207682.0,4.0,
Honda,Red,98233.0,4.0,"$4,896.00"
Toyota,White,69898.0,4.0,
Nissan,White,214768.0,4.0,"$2,863.00"
Toyota,White,151294.0,4.0,"$8,678.00"
Toyota,White,37069.0,4.0,"$8,299.00"
Toyota,White,162685.0,4.0,"$3,876.00"
Honda,Blue,56560.0,4.0,"$6,364.00"
Honda,Blue,54280.0,4.0,"$5,522.00"
Toyota,White,154606.0,4.0,"$3,175.00"
Nissan,White,213726.0,,"$2,265.00"
Toyota,,151367.0,4.0,"$3,927.00"
Toyota,White,150362.0,,"$2,984.00"
Toyota,Red,84268.0,4.0,"$3,250.00"
Honda,Blue,64936.0,4.0,"$4,890.00"
Toyota,Green,71513.0,4.0,"$2,283.00"
Toyota,White,54042.0,4.0,"$8,039.00"
Toyota,Green,60205.0,4.0,"$6,218.00"
BMW,Black,10790.0,5.0,"$23,195.00"
Toyota,Green,58923.0,4.0,"$4,473.00"
Toyota,White,60844.0,4.0,"$5,804.00"
Toyota,Green,54139.0,4.0,"$3,989.00"
BMW,White,17171.0,5.0,"$23,488.00"
Toyota,White,30447.0,4.0,"$10,389.00"
Toyota,White,63330.0,4.0,"$7,299.00"
Toyota,White,56223.0,4.0,"$6,279.00"
BMW,Black,11759.0,5.0,"$7,559.00"
Toyota,White,28939.0,4.0,"$9,256.00"
Toyota,Green,56746.0,4.0,"$5,030.00"
,Green,59454.0,4.0,"$3,752.00"
Honda,White,64314.0,,"$8,428.00"
Honda,White,,4.0,"$7,157.00"
Honda,White,64004.0,4.0,"$7,738.00"
Nissan,White,222127.0,4.0,"$2,976.00"
Toyota,White,145423.0,4.0,"$3,995.00"
Honda,Blue,63205.0,4.0,"$7,174.00"
Toyota,White,28432.0,4.0,"$8,630.00"
BMW,Black,12550.0,5.0,"$24,332.00"
Toyota,White,56822.0,4.0,"$7,740.00"
Honda,Blue,59250.0,4.0,"$7,440.00"
Toyota,White,22355.0,4.0,"$8,613.00"
BMW,White,13535.0,4.0,"$22,022.00"
Honda,White,64422.0,4.0,"$6,859.00"
,Red,87405.0,4.0,"$4,542.00"
Honda,White,68729.0,4.0,"$8,686.00"
,White,59966.0,4.0,"$9,623.00"
Honda,Blue,55414.0,4.0,"$6,356.00"
Honda,,84875.0,4.0,"$4,443.00"
Toyota,Blue,50590.0,4.0,"$8,183.00"
Toyota,White,36944.0,4.0,"$9,605.00"
Toyota,Green,56458.0,4.0,"$4,950.00"
Toyota,White,27063.0,4.0,"$10,683.00"
Toyota,White,62519.0,4.0,"$5,230.00"
BMW,Black,10177.0,5.0,"$22,811.00"
Honda,White,57087.0,4.0,"$7,593.00"
Honda,Red,86981.0,4.0,"$3,772.00"
Toyota,White,25208.0,4.0,"$10,206.00"
Toyota,White,,4.0,"$2,499.00"
Toyota,White,63752.0,4.0,"$7,343.00"
,Black,,5.0,"$22,276.00"
Nissan,White,221190.0,4.0,"$3,725.00"
Toyota,Blue,68631.0,3.0,"$7,396.00"
BMW,Black,9923.0,5.0,"$21,165.00"
Toyota,Blue,58924.0,4.0,"$7,332.00"
Toyota,Green,,4.0,"$4,567.00"
Nissan,White,203660.0,4.0,"$3,701.00"
BMW,Black,15205.0,5.0,"$6,934.00"
BMW,White,11412.0,5.0,"$22,151.00"
Toyota,White,212137.0,4.0,"$3,474.00"
Toyota,White,34683.0,4.0,"$10,194.00"
Toyota,Black,8563.0,,
Honda,White,62529.0,4.0,"$7,823.00"
Toyota,White,,4.0,"$8,985.00"
Toyota,Black,,5.0,"$21,574.00"
Honda,White,,4.0,"$8,304.00"
Toyota,White,64778.0,4.0,"$7,274.00"
Honda,Red,93740.0,4.0,"$5,514.00"
Nissan,White,205296.0,4.0,"$4,034.00"
Toyota,White,64134.0,4.0,"$8,786.00"
BMW,Black,14841.0,5.0,"$21,839.00"
Toyota,Blue,60944.0,3.0,"$5,637.00"
Nissan,White,212087.0,4.0,"$3,664.00"
Toyota,Blue,57733.0,4.0,"$6,964.00"
Toyota,White,23252.0,4.0,"$7,783.00"
Toyota,Blue,58591.0,4.0,"$7,092.00"
Toyota,White,58371.0,4.0,"$3,838.00"
Toyota,Blue,62293.0,3.0,"$7,106.00"
,Blue,54543.0,4.0,"$6,125.00"
,White,57516.0,4.0,"$6,838.00"
Nissan,White,210078.0,4.0,"$6,738.00"
Toyota,Blue,65001.0,3.0,"$7,782.00"
BMW,Black,6078.0,5.0,"$22,770.00"
Honda,White,63696.0,4.0,"$7,979.00"
BMW,Black,8344.0,,"$21,125.00"
Toyota,White,59941.0,4.0,"$7,908.00"
Toyota,White,152580.0,4.0,"$4,316.00"
Toyota,White,68865.0,4.0,"$4,821.00"
Toyota,Green,63169.0,4.0,"$5,169.00"
Toyota,,29579.0,4.0,"$12,277.00"
Toyota,Green,59404.0,4.0,"$3,684.00"
Honda,White,49531.0,4.0,"$4,578.00"
Toyota,Green,62283.0,4.0,"$7,230.00"
BMW,Black,,5.0,"$21,793.00"
Toyota,White,59544.0,4.0,"$7,798.00"
Toyota,White,147774.0,4.0,"$4,754.00"
Toyota,Blue,64469.0,3.0,"$5,124.00"
Toyota,White,214896.0,4.0,"$6,457.00"
Toyota,Blue,60659.0,3.0,"$5,270.00"
Toyota,White,149088.0,4.0,"$4,633.00"
Nissan,White,210445.0,4.0,"$3,836.00"
Honda,White,63742.0,4.0,"$6,649.00"
BMW,Black,8125.0,5.0,
Toyota,Green,58126.0,4.0,"$7,255.00"
Toyota,White,145063.0,4.0,"$8,735.00"
Honda,Red,75823.0,4.0,"$5,302.00"
Toyota,Blue,70399.0,,"$7,815.00"
Honda,Blue,56268.0,4.0,
Toyota,Green,60332.0,4.0,"$2,907.00"
Toyota,White,68775.0,4.0,"$9,312.00"
BMW,Black,12124.0,5.0,"$22,024.00"
Toyota,,69493.0,4.0,
Toyota,Blue,60183.0,,"$6,724.00"
Honda,White,68199.0,4.0,"$9,903.00"
Toyota,White,37706.0,4.0,"$10,092.00"
Honda,White,59792.0,4.0,"$7,257.00"
Honda,White,55833.0,4.0,
Toyota,Blue,65149.0,3.0,"$6,916.00"
BMW,Black,6731.0,5.0,"$23,042.00"
Toyota,Blue,53111.0,3.0,"$6,678.00"
BMW,Black,6908.0,4.0,"$10,279.00"
,White,56905.0,4.0,"$3,314.00"
Toyota,Blue,51077.0,3.0,"$6,665.00"
Toyota,Green,66456.0,4.0,"$4,557.00"
Honda,Red,86392.0,4.0,"$5,686.00"
Toyota,Blue,57288.0,3.0,
Toyota,Blue,64529.0,3.0,"$7,991.00"
,Blue,59210.0,3.0,"$6,343.00"
Nissan,White,,4.0,"$4,215.00"
Honda,,89975.0,4.0,"$5,851.00"
Toyota,White,56075.0,4.0,"$7,292.00"
Toyota,White,38809.0,4.0,"$9,896.00"
Toyota,Red,85508.0,4.0,"$5,388.00"
Toyota,Blue,48686.0,3.0,"$7,092.00"
Toyota,Blue,54765.0,4.0,"$8,523.00"
Nissan,White,210715.0,4.0,"$3,102.00"
Toyota,Blue,64260.0,3.0,
Toyota,Green,67779.0,4.0,"$3,490.00"
Toyota,White,56152.0,4.0,"$7,118.00"
