Make,Colour,Odometer,Doors,Price
Honda,,60671.0,4.0,9396.0
Toyota,White,63273.0,4.0,7043.0
Honda,Red,93064.0,4.0,5077.0
Honda,Red,80653.0,4.0,5573.0
,White,210008.0,4.0,4817.0
Nissan,,205579.0,,4290.0
,Blue,58779.0,4.0,7096.0
Toyota,Blue,54064.0,4.0,6405.0
BMW,Black,7255.0,5.0,21341.0
Toyota,White,64243.0,4.0,7554.0
Toyota,White,33516.0,4.0,9314.0
Toyota,Blue,61792.0,3.0,6374.0
Nissan,White,215247.0,4.0,4923.0
Nissan,White,223307.0,4.0,2435.0
Nissan,White,214126.0,4.0,5455.0
Toyota,Blue,57098.0,3.0,7753.0
Toyota,White,55791.0,4.0,6484.0
Honda,Red,,4.0,5992.0
Nissan,White,216485.0,4.0,8548.0
BMW,Black,4738.0,,22308.0
Honda,Red,86602.0,4.0,3973.0
Nissan,White,59179.0,4.0,3603.0
Toyota,Blue,67066.0,3.0,8651.0
Honda,Blue,56802.0,4.0,5809.0
Toyota,Green,48742.0,4.0,2771.0
Honda,Blue,60499.0,4.0,5770.0
Toyota,White,,4.0,6756.0
BMW,Black,8043.0,,21276.0
Honda,White,61112.0,4.0,7850.0
Toyota,White,56940.0,3.0,7990.0
Toyota,White,56656.0,4.0,6584.0
Honda,White,62145.0,4.0,6262.0
Honda,Red,93219.0,4.0,5769.0
BMW,White,4130.0,4.0,21326.0
,Blue,63873.0,4.0,6924.0
Honda,Red,85682.0,4.0,5886.0
BMW,White,11724.0,5.0,21816.0
Honda,White,70585.0,4.0,
BMW,Black,11905.0,5.0,20708.0
Honda,,62056.0,,6225.0
Toyota,White,,4.0,2717.0
Toyota,Green,,4.0,4403.0
Nissan,White,211434.0,,2510.0
BMW,Black,4210.0,5.0,22292.0
Honda,Blue,58774.0,4.0,7379.0
Honda,Red,90633.0,4.0,4424.0
Honda,Blue,,4.0,6898.0
Nissan,White,210516.0,4.0,3044.0
Toyota,White,58219.0,4.0,7572.0
Toyota,White,55882.0,4.0,7010.0
Toyota,Blue,58777.0,3.0,6441.0
,Red,94292.0,4.0,5342.0
Toyota,White,20275.0,4.0,7868.0
Honda,Blue,59278.0,4.0,6087.0
Honda,White,64235.0,4.0,10309.0
Toyota,White,29627.0,4.0,8736.0
Toyota,White,32955.0,4.0,8954.0
Honda,Red,89063.0,4.0,4020.0
Honda,Blue,60857.0,4.0,7206.0
Toyota,White,62619.0,4.0,7509.0
Nissan,White,220722.0,4.0,4788.0
Toyota,Blue,64998.0,3.0,8712.0
Toyota,White,55716.0,4.0,6435.0
Toyota,White,54628.0,4.0,8918.0
Nissan,White,215433.0,4.0,3429.0
Toyota,Green,51185.0,4.0,5217.0
Honda,Red,91048.0,4.0,4803.0
BMW,,16570.0,5.0,23126.0
Toyota,White,63683.0,4.0,7318.0
BMW,Black,8785.0,5.0,21421.0
BMW,Black,8006.0,4.0,22384.0
Toyota,Blue,62390.0,3.0,9019.0
Toyota,Green,53811.0,,4545.0
Toyota,White,65537.0,4.0,7704.0
,Black,14032.0,5.0,22661.0
BMW,Black,8975.0,5.0,21541.0
Honda,Red,81392.0,4.0,5115.0
,White,44807.0,4.0,10387.0
Toyota,,63678.0,4.0,
Toyota,,87587.0,4.0,4974.0
Toyota,White,26794.0,4.0,8555.0
Toyota,Blue,72283.0,3.0,6951.0
Toyota,White,28227.0,4.0,6713.0
Toyota,White,33308.0,4.0,
Honda,White,61661.0,4.0,6714.0
Toyota,White,58646.0,4.0,6067.0
Toyota,White,62527.0,4.0,7690.0
Nissan,White,206304.0,4.0,2765.0
Toyota,Blue,68383.0,3.0,7615.0
Nissan,White,210952.0,4.0,3735.0
Honda,Blue,53305.0,,6753.0
Toyota,White,34490.0,4.0,10771.0
Toyota,White,31834.0,4.0,10738.0
Toyota,Blue,65061.0,3.0,7039.0
Toyota,White,50909.0,4.0,6740.0
Honda,Blue,54456.0,4.0,
Honda,Red,80909.0,4.0,4011.0
Honda,Blue,67874.0,4.0,7025.0
Toyota,White,,4.0,1423.0
Toyota,White,69352.0,4.0,5973.0
Toyota,White,57837.0,4.0,9399.0
Honda,White,59895.0,4.0,6990.0
Toyota,Green,53198.0,4.0,7383.0
Nissan,White,212968.0,4.0,3376.0
Toyota,White,57239.0,4.0,3664.0
Toyota,White,151023.0,4.0,4357.0
Honda,Blue,60199.0,4.0,7297.0
Toyota,Blue,58460.0,3.0,7291.0
Toyota,Blue,58676.0,3.0,5635.0
Toyota,White,155736.0,4.0,5614.0
Nissan,White,215032.0,4.0,3474.0
,White,211416.0,4.0,1554.0
Honda,White,60329.0,4.0,5464.0
Toyota,White,35411.0,4.0,10764.0
,Blue,,4.0,8477.0
Toyota,Blue,49755.0,4.0,7300.0
Toyota,White,31932.0,4.0,9441.0
Toyota,White,25121.0,4.0,
Toyota,White,21519.0,4.0,8589.0
Honda,White,55800.0,4.0,8427.0
Toyota,Blue,57439.0,3.0,7035.0
Toyota,Blue,58780.0,3.0,8175.0
Honda,Blue,62809.0,4.0,6432.0
Toyota,White,22422.0,4.0,9442.0
Toyota,White,61600.0,4.0,6232.0
Honda,Red,84399.0,4.0,5151.0
Toyota,White,152188.0,4.0,5884.0
Toyota,White,57566.0,4.0,6757.0
Toyota,White,147832.0,4.0,4210.0
Toyota,White,30480.0,4.0,9930.0
Nissan,White,,,4055.0
Nissan,White,208982.0,,3664.0
Nissan,White,56483.0,4.0,4826.0
Toyota,Green,60582.0,4.0,2075.0
Honda,Blue,56100.0,4.0,7364.0
Toyota,White,32462.0,4.0,9187.0
Toyota,Green,60110.0,4.0,5395.0
Toyota,White,53680.0,4.0,8735.0
Nissan,White,212833.0,4.0,6129.0
Toyota,White,68820.0,4.0,6831.0
Honda,Blue,57935.0,4.0,7413.0
Toyota,,148521.0,4.0,
Toyota,White,27812.0,4.0,8551.0
,White,55500.0,4.0,3969.0
Toyota,,54153.0,4.0,6834.0
BMW,Black,12471.0,,6043.0
Toyota,Blue,60677.0,3.0,7212.0
Honda,White,66367.0,4.0,6222.0
Toyota,Green,60091.0,4.0,5014.0
Toyota,White,33352.0,4.0,9499.0
,White,208910.0,4.0,3897.0
Honda,White,60031.0,4.0,7702.0
Toyota,Green,60677.0,4.0,3696.0
Nissan,White,56111.0,4.0,3151.0
Nissan,White,59307.0,4.0,4509.0
Toyota,White,,4.0,6207.0
Toyota,Blue,60167.0,,6505.0
Toyota,White,133702.0,4.0,5068.0
Honda,White,,4.0,7772.0
Honda,Red,85223.0,4.0,3501.0
Honda,White,83103.0,4.0,5705.0
BMW,Black,,5.0,23274.0
Honda,Blue,67770.0,4.0,8309.0
Toyota,White,58493.0,4.0,3881.0
Nissan,White,207367.0,4.0,3194.0
Honda,White,63546.0,4.0,7191.0
BMW,Black,13605.0,5.0,23430.0
Honda,Red,85615.0,4.0,3100.0
Toyota,White,62899.0,4.0,5078.0
Honda,White,54983.0,4.0,7679.0
Toyota,White,53241.0,4.0,7649.0
Toyota,White,,4.0,4119.0
Toyota,White,148992.0,4.0,2563.0
Toyota,White,59344.0,4.0,4413.0
Nissan,White,208443.0,4.0,2776.0
Toyota,White,67602.0,4.0,6987.0
Toyota,White,145705.0,,2731.0
Honda,Blue,53280.0,4.0,8206.0
Toyota,White,152053.0,4.0,7155.0
Honda,Red,71299.0,4.0,7296.0
Toyota,White,138307.0,4.0,3504.0
Toyota,White,62368.0,4.0,9268.0
Toyota,Green,65150.0,4.0,6229.0
Toyota,Blue,71314.0,3.0,6267.0
Honda,White,66059.0,4.0,6878.0
Honda,Red,79604.0,4.0,
Toyota,White,148569.0,4.0,3167.0
Honda,Blue,58966.0,4.0,5854.0
Honda,Red,82289.0,4.0,2745.0
Toyota,Green,68051.0,4.0,3216.0
Toyota,Green,60779.0,4.0,5898.0
,White,29059.0,4.0,6749.0
BMW,Black,9057.0,5.0,21390.0
Toyota,Blue,63837.0,3.0,7059.0
Toyota,Blue,60757.0,3.0,6015.0
Honda,Blue,63673.0,4.0,6982.0
,Red,88589.0,4.0,6142.0
,White,,4.0,6130.0
BMW,,13109.0,5.0,22472.0
Toyota,,57164.0,4.0,4312.0
Toyota,White,59840.0,3.0,8284.0
Toyota,White,51580.0,4.0,7031.0
Nissan,White,213979.0,4.0,2453.0
Toyota,White,23701.0,4.0,7131.0
Toyota,Blue,,4.0,7865.0
Nissan,,212817.0,4.0,801.0
Honda,White,63293.0,4.0,7587.0
Honda,,60605.0,4.0,7446.0
Honda,Red,86824.0,4.0,4775.0
Toyota,Blue,59260.0,3.0,
Toyota,White,158396.0,4.0,3777.0
Honda,Blue,61901.0,4.0,8109.0
Toyota,White,58571.0,4.0,6762.0
Toyota,White,146497.0,4.0,4842.0
Toyota,Blue,53251.0,4.0,7182.0
BMW,Black,9241.0,5.0,21613.0
Toyota,White,30174.0,4.0,9435.0
Toyota,White,150127.0,4.0,3464.0
,White,65194.0,4.0,3757.0
Toyota,White,34486.0,,8675.0
Honda,Red,81129.0,4.0,4198.0
Toyota,White,148175.0,4.0,
Toyota,Blue,61761.0,,6262.0
Nissan,White,210445.0,4.0,5971.0
Toyota,Blue,61857.0,3.0,7115.0
Honda,White,60571.0,4.0,5704.0
Honda,Red,80465.0,4.0,6351.0
Honda,Red,87507.0,4.0,4206.0
Toyota,Blue,60245.0,3.0,6388.0
Toyota,White,,4.0,8742.0
Honda,Blue,62770.0,4.0,6446.0
Toyota,White,33785.0,4.0,6788.0
Toyota,White,147933.0,4.0,4845.0
Honda,Red,91694.0,4.0,5314.0
Honda,White,52300.0,4.0,7215.0
Toyota,White,61632.0,4.0,5935.0
Honda,Blue,72955.0,4.0,7545.0
Toyota,White,155121.0,4.0,4039.0
,White,145993.0,4.0,3888.0
Toyota,White,37350.0,4.0,11305.0
,White,145510.0,4.0,5086.0
,White,67016.0,4.0,6263.0
Toyota,Blue,58588.0,,6694.0
BMW,Black,2781.0,5.0,
Honda,Blue,59861.0,4.0,8546.0
Toyota,,57937.0,4.0,3400.0
Toyota,Blue,54349.0,3.0,5998.0
Honda,White,62693.0,4.0,8594.0
Toyota,White,53482.0,4.0,7141.0
Honda,White,62592.0,,6919.0
BMW,Black,12507.0,5.0,23680.0
Toyota,White,146784.0,4.0,4027.0
Toyota,,59195.0,4.0,6442.0
,Green,62937.0,4.0,5423.0
Toyota,Blue,66404.0,3.0,7344.0
Nissan,White,209887.0,4.0,5970.0
Honda,Blue,67562.0,,5812.0
Toyota,Green,61022.0,4.0,6265.0
Honda,Red,91795.0,4.0,4304.0
Toyota,White,152441.0,4.0,3764.0
Toyota,Blue,65297.0,3.0,5367.0
Honda,White,58957.0,4.0,7501.0
,Red,81943.0,4.0,4469.0
Nissan,White,218121.0,4.0,3992.0
Toyota,Green,70797.0,4.0,3140.0
Toyota,White,51625.0,4.0,11598.0
Honda,Red,88803.0,4.0,3235.0
Toyota,White,60958.0,,6949.0
Toyota,White,29754.0,4.0,8337.0
BMW,Black,9224.0,5.0,21823.0
Toyota,Blue,,3.0,7373.0
Honda,Red,92137.0,,5340.0
Toyota,Green,58090.0,4.0,4039.0
Toyota,White,32114.0,4.0,10483.0
BMW,Black,8182.0,,
Honda,Blue,54814.0,4.0,6898.0
Honda,White,62948.0,4.0,7032.0
,White,208952.0,4.0,5617.0
Toyota,White,27719.0,4.0,10805.0
Toyota,White,59306.0,4.0,2646.0
Toyota,Blue,62398.0,,6926.0
Toyota,White,150263.0,4.0,3783.0
Toyota,Green,56946.0,4.0,3107.0
,Green,66557.0,4.0,6688.0
Toyota,Green,64646.0,4.0,8187.0
Nissan,White,207421.0,4.0,2514.0
Honda,Red,90522.0,4.0,4688.0
BMW,Black,12313.0,5.0,18858.0
Toyota,White,147543.0,,3730.0
Toyota,,40863.0,4.0,11815.0
Toyota,Blue,64417.0,4.0,6061.0
Honda,White,66795.0,4.0,7317.0
Toyota,White,148625.0,4.0,4735.0
Nissan,White,218025.0,4.0,3798.0
Toyota,Black,7356.0,5.0,21187.0
Toyota,White,31964.0,4.0,
Toyota,Blue,60442.0,3.0,7653.0
Honda,Blue,64161.0,4.0,
Toyota,White,27379.0,4.0,9226.0
Toyota,White,24796.0,4.0,8196.0
Toyota,White,90789.0,4.0,
Toyota,White,64153.0,4.0,6464.0
Nissan,White,215567.0,4.0,1991.0
BMW,Black,9430.0,5.0,20926.0
Honda,White,55411.0,4.0,7913.0
Toyota,White,67271.0,4.0,8042.0
Toyota,White,145931.0,4.0,3483.0
Honda,Red,91458.0,4.0,5066.0
Honda,White,52765.0,4.0,6874.0
Toyota,White,30998.0,4.0,8670.0
Toyota,Green,66119.0,4.0,4541.0
BMW,Black,10445.0,5.0,23287.0
Toyota,White,32312.0,4.0,9176.0
,Blue,61134.0,4.0,5770.0
Toyota,White,211744.0,4.0,7619.0
Toyota,White,58396.0,4.0,6613.0
Toyota,White,34556.0,4.0,7114.0
Honda,White,54586.0,4.0,8509.0
Honda,Blue,63363.0,4.0,6982.0
Toyota,White,69272.0,4.0,8305.0
BMW,,17124.0,5.0,22111.0
Toyota,Blue,73957.0,4.0,8066.0
BMW,Black,8975.0,4.0,19552.0
Nissan,White,210556.0,4.0,2343.0
Honda,White,59097.0,4.0,6866.0
Honda,Blue,60770.0,4.0,5806.0
Honda,White,61337.0,4.0,8925.0
Honda,Blue,65433.0,4.0,7555.0
Nissan,White,211080.0,4.0,3000.0
Honda,White,75755.0,4.0,5996.0
Toyota,Blue,53386.0,3.0,4732.0
Toyota,White,150661.0,4.0,3349.0
Honda,Red,82612.0,4.0,6590.0
Nissan,White,207682.0,4.0,
Honda,Red,98233.0,4.0,4896.0
Toyota,White,69898.0,4.0,
Nissan,White,214768.0,4.0,2863.0
Toyota,White,151294.0,4.0,8678.0
Toyota,White,37069.0,4.0,8299.0
Toyota,White,162685.0,4.0,3876.0
Honda,Blue,56560.0,4.0,6364.0
Honda,Blue,54280.0,4.0,5522.0
Toyota,White,154606.0,4.0,3175.0
Nissan,White,213726.0,,2265.0
Toyota,,151367.0,4.0,3927.0
Toyota,White,150362.0,,2984.0
Toyota,Red,84268.0,4.0,3250.0
Honda,Blue,64936.0,4.0,4890.0
Toyota,Green,71513.0,4.0,2283.0
Toyota,White,54042.0,4.0,8039.0
Toyota,Green,60205.0,4.0,6218.0
BMW,Black,10790.0,5.0,23195.0
Toyota,Green,58923.0,4.0,4473.0
Toyota,White,60844.0,4.0,5804.0
Toyota,Green,54139.0,4.0,3989.0
BMW,White,17171.0,5.0,23488.0
Toyota,White,30447.0,4.0,10389.0
Toyota,White,63330.0,4.0,7299.0
Toyota,White,56223.0,4.0,6279.0
BMW,Black,11759.0,5.0,7559.0
Toyota,White,28939.0,4.0,9256.0
Toyota,Green,56746.0,4.0,5030.0
,Green,59454.0,4.0,3752.0
Honda,White,64314.0,,8428.0
Honda,White,,4.0,7157.0
Honda,White,64004.0,4.0,7738.0
Nissan,White,222127.0,4.0,2976.0
Toyota,White,145423.0,4.0,3995.0
Honda,Blue,63205.0,4.0,7174.0
Toyota,White,28432.0,4.0,8630.0
BMW,Black,12550.0,5.0,24332.0
Toyota,White,56822.0,4.0,7740.0
Honda,Blue,59250.0,4.0,7440.0
Toyota,White,22355.0,4.0,8613.0
BMW,White,13535.0,4.0,22022.0
Honda,White,64422.0,4.0,6859.0
,Red,87405.0,4.0,4542.0
Honda,White,68729.0,4.0,8686.0
,White,59966.0,4.0,9623.0
Honda,Blue,55414.0,4.0,6356.0
Honda,,84875.0,4.0,4443.0
Toyota,Blue,50590.0,4.0,8183.0
Toyota,White,36944.0,4.0,9605.0
Toyota,Green,56458.0,4.0,4950.0
Toyota,White,27063.0,4.0,10683.0
Toyota,White,62519.0,4.0,5230.0
BMW,Black,10177.0,5.0,22811.0
Honda,White,57087.0,4.0,7593.0
Honda,Red,86981.0,4.0,3772.0
Toyota,White,25208.0,4.0,10206.0
Toyota,White,,4.0,2499.0
Toyota,White,63752.0,4.0,7343.0
,Black,,5.0,22276.0
Nissan,White,221190.0,4.0,3725.0
Toyota,Blue,68631.0,3.0,7396.0
BMW,Black,9923.0,5.0,21165.0
Toyota,Blue,58924.0,4.0,7332.0
Toyota,Green,,4.0,4567.0
Nissan,White,203660.0,4.0,3701.0
BMW,Black,15205.0,5.0,6934.0
BMW,White,11412.0,5.0,22151.0
Toyota,White,212137.0,4.0,3474.0
Toyota,White,34683.0,4.0,10194.0
Toyota,Black,8563.0,,
Honda,White,62529.0,4.0,7823.0
Toyota,White,,4.0,8985.0
Toyota,Black,,5.0,21574.0
Honda,White,,4.0,8304.0
Toyota,White,64778.0,4.0,7274.0
Honda,Red,93740.0,4.0,5514.0
Nissan,White,205296.0,4.0,4034.0
Toyota,White,64134.0,4.0,8786.0
BMW,Black,14841.0,5.0,21839.0
Toyota,Blue,60944.0,3.0,5637.0
Nissan,White,212087.0,4.0,3664.0
Toyota,Blue,57733.0,4.0,6964.0
Toyota,White,23252.0,4.0,7783.0
Toyota,Blue,58591.0,4.0,7092.0
Toyota,White,58371.0,4.0,3838.0
Toyota,Blue,62293.0,3.0,7106.0
,Blue,54543.0,4.0,6125.0
,White,57516.0,4.0,6838.0
Nissan,White,210078.0,4.0,6738.0
Toyota,Blue,65001.0,3.0,7782.0
BMW,Black,6078.0,5.0,22770.0
Honda,White,63696.0,4.0,7979.0
BMW,Black,8344.0,,21125.0
Toyota,White,59941.0,4.0,7908.0
Toyota,White,152580.0,4.0,4316.0
Toyota,White,68865.0,4.0,4821.0
Toyota,Green,63169.0,4.0,5169.0
Toyota,,29579.0,4.0,12277.0
Toyota,Green,59404.0,4.0,3684.0
Honda,White,49531.0,4.0,4578.0
Toyota,Green,62283.0,4.0,7230.0
BMW,Black,,5.0,21793.0
Toyota,White,59544.0,4.0,7798.0
Toyota,White,147774.0,4.0,4754.0
Toyota,Blue,64469.0,3.0,5124.0
Toyota,White,214896.0,4.0,6457.0
Toyota,Blue,60659.0,3.0,5270.0
Toyota,White,149088.0,4.0,4633.0
Nissan,White,210445.0,4.0,3836.0
Honda,White,63742.0,4.0,6649.0
BMW,Black,8125.0,5.0,
Toyota,Green,58126.0,4.0,7255.0
Toyota,White,145063.0,4.0,8735.0
Honda,Red,75823.0,4.0,5302.0
Toyota,Blue,70399.0,,7815.0
Honda,Blue,56268.0,4.0,
Toyota,Green,60332.0,4.0,2907.0
Toyota,White,68775.0,4.0,9312.0
BMW,Black,12124.0,5.0,22024.0
Toyota,,69493.0,4.0,
Toyota,Blue,60183.0,,6724.0
Honda,White,68199.0,4.0,9903.0
Toyota,White,37706.0,4.0,10092.0
Honda,White,59792.0,4.0,7257.0
Honda,White,55833.0,4.0,
Toyota,Blue,65149.0,3.0,6916.0
BMW,Black,6731.0,5.0,23042.0
Toyota,Blue,53111.0,3.0,6678.0
BMW,Black,6908.0,4.0,10279.0
,White,56905.0,4.0,3314.0
Toyota,Blue,51077.0,3.0,6665.0
Toyota,Green,66456.0,4.0,4557.0
Honda,Red,86392.0,4.0,5686.0
Toyota,Blue,57288.0,3.0,
Toyota,Blue,64529.0,3.0,7991.0
,Blue,59210.0,3.0,6343.0
Nissan,White,,4.0,4215.0
Honda,,89975.0,4.0,5851.0
Toyota,White,56075.0,4.0,7292.0
Toyota,White,38809.0,4.0,9896.0
Toyota,Red,85508.0,4.0,5388.0
Toyota,Blue,48686.0,3.0,7092.0
Toyota,Blue,54765.0,4.0,8523.0
Nissan,White,210715.0,4.0,3102.0
Toyota,Blue,64260.0,3.0,
Toyota,Green,67779.0,4.0,3490.0
Toyota,White,56152.0,4.0,7118.0
Toyota,White,59949.0,4.0,6523.0
Toyota,White,58659.0,4.0,10905.0
Toyota,White,144787.0,4.0,3266.0
BMW,Black,53736.0,5.0,20817.0
Toyota,White,61245.0,4.0,6513.0
Honda,,78949.0,4.0,7307.0
Toyota,White,28014.0,4.0,7837.0
Honda,White,66187.0,4.0,8435.0
Toyota,White,59115.0,4.0,6653.0
Toyota,White,62733.0,4.0,5590.0
BMW,Black,19246.0,5.0,21786.0
Honda,Blue,65609.0,4.0,6576.0
Honda,White,61921.0,4.0,9778.0
Toyota,White,62642.0,4.0,4819.0
Nissan,White,212969.0,,3878.0
Toyota,Blue,57147.0,4.0,7644.0
Nissan,White,220525.0,4.0,4033.0
Honda,White,54380.0,4.0,7450.0
Toyota,White,25880.0,4.0,6878.0
Honda,White,55370.0,4.0,6861.0
Toyota,White,61275.0,4.0,6269.0
Honda,Red,89543.0,4.0,5178.0
Honda,Red,90446.0,4.0,5924.0
Nissan,White,214189.0,4.0,1190.0
,White,211589.0,4.0,1922.0
Honda,Blue,62446.0,4.0,6131.0
Toyota,Blue,68375.0,4.0,7780.0
BMW,Black,10178.0,5.0,21845.0
Toyota,White,61934.0,4.0,6177.0
Toyota,,28566.0,4.0,12025.0
Toyota,Blue,52569.0,3.0,7489.0
Nissan,White,213082.0,4.0,
Nissan,White,210682.0,4.0,2169.0
Nissan,White,207646.0,4.0,4824.0
Toyota,Blue,52770.0,3.0,6900.0
,White,63149.0,4.0,7133.0
Honda,Red,95681.0,4.0,5513.0
Nissan,White,218653.0,4.0,5307.0
BMW,Black,18455.0,5.0,22833.0
Honda,Red,90745.0,4.0,5940.0
Nissan,White,64922.0,4.0,3604.0
Toyota,Blue,65773.0,3.0,7465.0
Honda,Blue,56016.0,4.0,6708.0
Toyota,Green,51341.0,4.0,4541.0
Honda,Blue,52522.0,4.0,8531.0
Toyota,White,63501.0,4.0,7081.0
BMW,Black,6765.0,5.0,21490.0
Honda,White,51624.0,4.0,8368.0
Toyota,White,66822.0,3.0,7657.0
Toyota,,62330.0,4.0,7473.0
Honda,White,55902.0,4.0,
Honda,Red,87560.0,4.0,4764.0
BMW,White,15477.0,4.0,21512.0
,Blue,55884.0,4.0,7844.0
Honda,Red,88018.0,4.0,5648.0
BMW,White,5371.0,5.0,21437.0
Honda,White,62900.0,4.0,9019.0
BMW,Black,8368.0,5.0,23957.0
Honda,White,58188.0,4.0,6584.0
Toyota,White,147731.0,4.0,4281.0
Toyota,Green,56266.0,,4343.0
Nissan,White,222276.0,4.0,1641.0
BMW,Black,9596.0,5.0,22609.0
Honda,,60873.0,4.0,4895.0
Honda,,85495.0,4.0,5912.0
,Blue,63299.0,4.0,8601.0
Nissan,White,213096.0,4.0,4103.0
Toyota,White,57861.0,4.0,7986.0
Toyota,White,59648.0,4.0,6717.0
Toyota,Blue,53529.0,3.0,6808.0
Honda,Red,81405.0,4.0,5993.0
Toyota,,37125.0,4.0,9378.0
Honda,Blue,53866.0,4.0,8579.0
Honda,White,53856.0,4.0,
Toyota,White,29291.0,4.0,9967.0
Toyota,White,22111.0,,10126.0
Honda,Red,90948.0,4.0,5921.0
Honda,Blue,70869.0,4.0,5933.0
Toyota,White,58008.0,4.0,6899.0
Nissan,White,209317.0,4.0,4095.0
Toyota,Blue,61403.0,3.0,7386.0
Toyota,White,61380.0,4.0,7550.0
Toyota,White,63613.0,4.0,6802.0
Nissan,White,208570.0,4.0,2144.0
Toyota,Green,59427.0,4.0,4316.0
Honda,Red,81843.0,4.0,4232.0
BMW,Black,,5.0,22120.0
Toyota,White,65435.0,4.0,5823.0
BMW,Black,6499.0,5.0,21412.0
BMW,Black,13119.0,4.0,20724.0
Toyota,Blue,52219.0,3.0,5923.0
Toyota,Green,,4.0,5051.0
Toyota,White,71392.0,,7818.0
BMW,Black,2209.0,5.0,21620.0
BMW,Black,12309.0,5.0,20655.0
Honda,Red,92631.0,4.0,4171.0
Toyota,White,27887.0,4.0,9110.0
Toyota,Green,52866.0,4.0,3591.0
Toyota,Red,79334.0,4.0,6198.0
Toyota,White,,4.0,10222.0
Toyota,,63253.0,3.0,8114.0
Toyota,White,28438.0,4.0,5199.0
Toyota,White,32586.0,4.0,8608.0
Honda,White,64517.0,4.0,6221.0
Toyota,White,63780.0,4.0,
Toyota,White,61433.0,4.0,8959.0
Nissan,White,213972.0,,4464.0
Toyota,Blue,65859.0,,6879.0
